Game_Date,Game_Number,Day_of_Week,Visiting_Team,Visiting_League,Visiting_Game_Number,Home_Team,Home_League,Home_Game_Number,Visiting_Score,Home_Score,Game_Length,Day_Night
20210611,0,Fri,ANA,AL,63,ARI,NL,64,6,5,60,N
20210612,0,Sat,ANA,AL,64,ARI,NL,65,8,7,54,D
20210613,0,Sun,ANA,AL,65,ARI,NL,66,10,3,54,D
20210824,0,Tue,ANA,AL,127,BAL,AL,124,14,8,54,N
20210825,0,Wed,ANA,AL,128,BAL,AL,125,6,10,51,N
20210826,0,Thu,ANA,AL,129,BAL,AL,126,1,13,51,D
20210514,0,Fri,ANA,AL,37,BOS,AL,40,3,4,51,N
20210515,0,Sat,ANA,AL,38,BOS,AL,41,0,9,51,D
20210516,0,Sun,ANA,AL,39,BOS,AL,42,6,5,54,D
20210914,0,Tue,ANA,AL,144,CHA,AL,144,3,9,51,N
20210915,0,Wed,ANA,AL,145,CHA,AL,145,3,2,54,N
20210916,0,Thu,ANA,AL,146,CHA,AL,146,9,3,54,D
20210820,0,Fri,ANA,AL,124,CLE,AL,120,1,9,51,N
20210821,0,Sat,ANA,AL,125,CLE,AL,121,1,5,51,D
20210822,0,Sun,ANA,AL,126,CLE,AL,122,0,3,51,N
20210817,0,Tue,ANA,AL,121,DET,AL,121,8,2,54,N
20210818,0,Wed,ANA,AL,122,DET,AL,122,3,1,54,N
20210819,0,Thu,ANA,AL,123,DET,AL,123,13,10,54,D
20210422,0,Thu,ANA,AL,17,HOU,AL,18,2,8,51,N
20210423,0,Fri,ANA,AL,18,HOU,AL,19,4,5,59,N
20210424,0,Sat,ANA,AL,19,HOU,AL,20,2,16,51,D
20210425,0,Sun,ANA,AL,20,HOU,AL,21,4,2,54,D
20210510,0,Mon,ANA,AL,34,HOU,AL,35,5,4,54,N
20210511,0,Tue,ANA,AL,35,HOU,AL,36,1,5,51,N
20210512,0,Wed,ANA,AL,36,HOU,AL,37,1,9,51,N
20210910,0,Fri,ANA,AL,141,HOU,AL,140,5,10,51,N
20210911,0,Sat,ANA,AL,142,HOU,AL,141,4,2,54,N
20210912,0,Sun,ANA,AL,143,HOU,AL,142,1,3,51,D
20210412,0,Mon,ANA,AL,10,KCA,AL,8,10,3,54,N
20210413,0,Tue,ANA,AL,11,KCA,AL,9,2,3,51,N
20210414,0,Wed,ANA,AL,12,KCA,AL,10,1,6,51,D
20210806,0,Fri,ANA,AL,110,LAN,NL,110,4,3,60,N
20210807,0,Sat,ANA,AL,111,LAN,NL,111,3,5,51,N
20210808,0,Sun,ANA,AL,112,LAN,NL,112,2,8,51,D
20210722,0,Thu,ANA,AL,95,MIN,AL,97,3,2,54,N
20210723,0,Fri,ANA,AL,96,MIN,AL,98,4,5,51,N
20210724,0,Sat,ANA,AL,97,MIN,AL,99,2,1,54,N
20210725,0,Sun,ANA,AL,98,MIN,AL,100,6,2,54,D
20210628,0,Mon,ANA,AL,78,NYA,AL,78,5,3,54,N
20210629,0,Tue,ANA,AL,79,NYA,AL,79,5,11,51,N
20210630,0,Wed,ANA,AL,80,NYA,AL,80,11,8,54,N
20210816,0,Mon,ANA,AL,120,NYA,AL,118,1,2,51,N
20210527,0,Thu,ANA,AL,50,OAK,AL,52,0,5,51,N
20210528,0,Fri,ANA,AL,51,OAK,AL,53,1,3,51,N
20210529,0,Sat,ANA,AL,52,OAK,AL,54,4,0,54,D
20210530,0,Sun,ANA,AL,53,OAK,AL,55,4,2,54,D
20210614,0,Mon,ANA,AL,66,OAK,AL,68,5,8,51,N
20210615,0,Tue,ANA,AL,67,OAK,AL,69,4,6,51,N
20210616,0,Wed,ANA,AL,68,OAK,AL,70,4,8,51,D
20210719,0,Mon,ANA,AL,93,OAK,AL,96,1,4,51,N
20210720,0,Tue,ANA,AL,94,OAK,AL,97,0,6,51,D
20210907,0,Tue,ANA,AL,139,SDN,NL,139,4,0,54,N
20210908,0,Wed,ANA,AL,140,SDN,NL,140,5,8,51,N
20210430,0,Fri,ANA,AL,24,SEA,AL,27,4,7,51,N
20210501,0,Sat,ANA,AL,25,SEA,AL,28,10,5,54,N
20210502,0,Sun,ANA,AL,26,SEA,AL,29,0,2,51,D
20210709,0,Fri,ANA,AL,87,SEA,AL,89,3,7,51,N
20210710,0,Sat,ANA,AL,88,SEA,AL,90,0,2,51,N
20210711,0,Sun,ANA,AL,89,SEA,AL,91,7,1,54,D
20211001,0,Fri,ANA,AL,160,SEA,AL,160,2,1,54,N
20211002,0,Sat,ANA,AL,161,SEA,AL,161,4,6,51,N
20211003,0,Sun,ANA,AL,162,SEA,AL,162,7,3,54,D
20210531,0,Mon,ANA,AL,54,SFN,NL,54,1,6,51,D
20210601,0,Tue,ANA,AL,55,SFN,NL,55,8,1,54,N
20210625,0,Fri,ANA,AL,75,TBA,AL,77,3,4,51,N
20210626,0,Sat,ANA,AL,76,TBA,AL,78,3,13,51,D
20210627,0,Sun,ANA,AL,77,TBA,AL,79,6,4,54,D
20210426,0,Mon,ANA,AL,21,TEX,AL,23,9,4,54,N
